timestamp,epoch,in_sample,accuracy,loss
2020-12-22 17:27:20.319784,1,in_sample,0.61,0.2228
2020-12-22 17:27:20.451787,1,in_sample,0.61,0.2226
2020-12-22 17:27:20.575359,1,in_sample,0.56,0.2379
2020-12-22 17:27:20.703359,1,in_sample,0.62,0.2415
2020-12-22 17:27:20.846358,1,in_sample,0.64,0.2262
2020-12-22 17:27:20.979358,1,in_sample,0.68,0.2116
2020-12-22 17:27:21.110357,1,in_sample,0.64,0.2293
2020-12-22 17:27:21.249357,1,in_sample,0.61,0.2323
2020-12-22 17:27:21.399359,1,in_sample,0.71,0.1947
2020-12-22 17:27:21.530357,1,in_sample,0.64,0.2142
2020-12-22 17:27:21.642881,1,in_sample,0.55,0.2514
2020-12-22 17:27:21.774881,1,in_sample,0.63,0.2114
2020-12-22 17:27:21.906881,1,in_sample,0.72,0.1998
2020-12-22 17:27:22.029880,1,in_sample,0.71,0.2005
2020-12-22 17:27:22.161881,1,in_sample,0.61,0.2279
2020-12-22 17:27:22.282883,1,in_sample,0.63,0.2332
2020-12-22 17:27:22.409882,1,in_sample,0.58,0.2353
2020-12-22 17:27:22.539880,1,in_sample,0.63,0.2238
2020-12-22 17:27:22.663880,1,in_sample,0.62,0.2107
2020-12-22 17:27:22.791928,1,in_sample,0.64,0.2238
2020-12-22 17:27:22.905926,1,in_sample,0.6,0.2545
2020-12-22 17:27:23.044461,1,in_sample,0.63,0.236
2020-12-22 17:27:23.178461,1,in_sample,0.63,0.2366
2020-12-22 17:27:23.317462,1,in_sample,0.74,0.195
2020-12-22 17:27:23.457461,1,in_sample,0.68,0.2155
2020-12-22 17:27:23.594462,1,in_sample,0.69,0.2137
2020-12-22 17:27:23.727461,1,in_sample,0.65,0.2291
2020-12-22 17:27:23.854462,1,in_sample,0.67,0.2104
2020-12-22 17:27:23.984463,1,in_sample,0.73,0.1992
2020-12-22 17:27:24.109462,1,in_sample,0.72,0.202
2020-12-22 17:27:24.239462,1,in_sample,0.57,0.2327
2020-12-22 17:27:24.373465,1,in_sample,0.71,0.2128
2020-12-22 17:27:24.504462,1,in_sample,0.64,0.2167
2020-12-22 17:27:24.617545,1,in_sample,0.63,0.2323
2020-12-22 17:27:24.744545,1,in_sample,0.7,0.2145
2020-12-22 17:27:24.877545,1,in_sample,0.7,0.2181
2020-12-22 17:27:25.016545,1,in_sample,0.73,0.2069
2020-12-22 17:27:25.152544,1,in_sample,0.68,0.1937
2020-12-22 17:27:25.290544,1,in_sample,0.63,0.2202
2020-12-22 17:27:25.432544,1,in_sample,0.61,0.2253
2020-12-22 17:27:25.549544,1,in_sample,0.73,0.2011
2020-12-22 17:27:25.677054,1,in_sample,0.68,0.2071
2020-12-22 17:27:25.810054,1,in_sample,0.62,0.2101
2020-12-22 17:27:25.948055,1,in_sample,0.61,0.2165
2020-12-22 17:27:26.079054,1,in_sample,0.6,0.2361
2020-12-22 17:27:26.199054,1,in_sample,0.62,0.2249
2020-12-22 17:27:26.337054,1,in_sample,0.72,0.201
2020-12-22 17:27:26.471056,1,in_sample,0.72,0.2076
2020-12-22 17:27:26.590054,1,in_sample,0.72,0.1997
2020-12-22 17:27:26.723055,1,in_sample,0.68,0.2135
2020-12-22 17:27:26.848054,1,in_sample,0.61,0.2227
2020-12-22 17:27:26.962057,1,in_sample,0.66,0.2207
2020-12-22 17:27:27.082573,1,in_sample,0.63,0.2388
2020-12-22 17:27:27.219573,1,in_sample,0.7,0.1967
2020-12-22 17:27:27.350573,1,in_sample,0.7,0.1967
2020-12-22 17:27:27.481573,1,in_sample,0.63,0.2199
2020-12-22 17:27:27.604572,1,in_sample,0.59,0.2477
2020-12-22 17:27:27.742572,1,in_sample,0.77,0.1818
2020-12-22 17:27:27.880573,1,in_sample,0.59,0.2175
2020-12-22 17:27:28.016572,1,in_sample,0.69,0.1837
2020-12-22 17:27:28.153572,1,in_sample,0.7,0.2073
2020-12-22 17:27:28.286572,1,in_sample,0.71,0.2057
2020-12-22 17:27:28.426599,1,in_sample,0.66,0.2135
2020-12-22 17:27:28.556599,1,in_sample,0.7,0.2035
2020-12-22 17:27:28.691601,1,in_sample,0.65,0.2285
2020-12-22 17:27:28.826598,1,in_sample,0.78,0.1768
2020-12-22 17:27:28.964599,1,in_sample,0.72,0.1967
2020-12-22 17:27:29.077599,1,in_sample,0.67,0.209
2020-12-22 17:27:29.205600,1,in_sample,0.67,0.1959
2020-12-22 17:27:29.329600,1,in_sample,0.65,0.2279
2020-12-22 17:27:29.458601,1,in_sample,0.64,0.2283
2020-12-22 17:27:29.592623,1,in_sample,0.66,0.2221
2020-12-22 17:27:29.721621,1,in_sample,0.62,0.2233
2020-12-22 17:27:29.849133,1,in_sample,0.7,0.1964
2020-12-22 17:27:29.987134,1,in_sample,0.68,0.2093
2020-12-22 17:27:30.124133,1,in_sample,0.6,0.2473
2020-12-22 17:27:30.243643,1,in_sample,0.61,0.2421
2020-12-22 17:27:30.381646,1,in_sample,0.64,0.2204
2020-12-22 17:27:30.503643,1,in_sample,0.77,0.1728
2020-12-22 17:27:30.637643,1,in_sample,0.73,0.2043
2020-12-22 17:27:30.782645,1,in_sample,0.65,0.2423
2020-12-22 17:27:30.912644,1,in_sample,0.58,0.251
2020-12-22 17:27:31.033644,1,in_sample,0.59,0.2477
2020-12-22 17:27:31.154191,1,in_sample,0.71,0.195
2020-12-22 17:27:31.290192,1,in_sample,0.66,0.2181
2020-12-22 17:27:31.420223,1,in_sample,0.65,0.2228
2020-12-22 17:27:31.542191,1,in_sample,0.67,0.2055
2020-12-22 17:27:31.676191,1,in_sample,0.63,0.21
2020-12-22 17:27:31.798193,1,in_sample,0.65,0.2198
2020-12-22 17:27:31.933190,1,in_sample,0.63,0.2295
2020-12-22 17:27:32.067192,1,in_sample,0.77,0.1871
2020-12-22 17:27:32.207190,1,in_sample,0.65,0.2098
2020-12-22 17:27:32.346190,1,in_sample,0.53,0.2551
2020-12-22 17:27:32.475217,1,in_sample,0.53,0.2605
2020-12-22 17:27:32.589216,1,in_sample,0.65,0.2126
